ARTICULO;MODELO;EAN;SUBFAMILIA;NOMBRE_SUBFAMILIA;DESCRIPCION;MARCA;PRECIO;STOCK;PVPR;IVA_TECNO;OBSOLETO;CANONDIGITAL;FAMILIA;NOMBREFAMILIA;ART_EXCLU_E;NOMBRECARACTERISTICA;VALOR;NOMBRECARACTERISTICA1;VALOR1;NOMBRECARACTERISTICA2;VALOR2;NOMBRECARACTERISTICA3;VALOR3;NOMBRECARACTERISTICA4;VALOR4;NOMBRECARACTERISTICA5;VALOR5;NOMBRECARACTERISTICA6;VALOR6;NOMBRECARACTERISTICA7;VALOR7;URLIMAGEN
01100188;VCASAE90AWA;8413880058986;AAM;ACCESORIO DE GAMA BLANCA;KIT COAXIAL 988010647;FAGOR CONF;20,52;1;35,068680; ; ;0;01;GAMA BLANCA; ;Color;BLANCO;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01100188.jpg
01100536;FDECORATIVAS2;8422248001595;FIL;FILTRO CAMPANA;02859391 DECORATIVAS GRUPO MOTOR TAP/TAT;CATA;12,94;0;22,114460; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01100536.jpg
01100594;CESTAVARILLA3;8421152026656;AAM;ACCESORIO DE GAMA BLANCA;40199037 CESTA VARILLA 370*315*145 MM;TEKA;33,12;0;56,602080; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles;ANGULAR, CUADRO, BE 2C 785, BE 2C 780, B;Materiales;Acero inoxidable;Tipo de aparatos;FREGADEROS;Peso; ;Ancho;370; ; ; ; ;https://integra.hepecasa.es/01/01100594.jpg
01101965;02841300;8422248001939;AAM;ACCESORIO DE GAMA BLANCA;90 INOX 2841300;CATA;34,50;0;58,9605; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;900; ; ; ; ;https://integra.hepecasa.es/01/01101965.jpg
01101969;F02846762FTF;8422248001816;FIL;FILTRO CAMPANA;02846762 (F/TF/E/I/G/DE/SBOX);CATA;7,40;1;12,6466; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01101969.jpg
01102612;ENCCGC4GAIAL;8421152027875;ENC;ENCIMERA A GAS;10205219 SM CGC.4G AI. AL NAT  600*510 AUTOENC;TEKA;235,84;2;403,050560; ; ;0;01;GAMA BLANCA; ;Altura;100;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control; ;https://integra.hepecasa.es/01/01102612.jpg
01104084;40446300GFT;8421152732571;CAY;GRUPO FILTRANTES;40446300 GF-T PIRAMIDAL INTEGRABLE 1M.520M3/H;TEKA;82,20;0;140,4798; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;500;Max. Capacidad Extracc.;359 m³/h;Numero de velocidades;3;Nivel de ruido; ;Consumo energetico; ;Num. Motores;1;https://integra.hepecasa.es/01/01104084.jpg
01104298;81476033CU;8421152708347;AAM;ACCESORIO DE GAMA BLANCA;81476033 CUBRETUBOS DM 60/70/90 INOX  800MM;TEKA;47,71;0;81,536390; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01104298.jpg
01104514;61801238CARBO;8421152712351;FIL;FILTRO CAMPANA;61801238 CARBON ACTIVO RECTANGULAR (CLASSIC);TEKA;13,26;4;22,661340; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01104514.jpg
01104779;10119059CLASS;8421152030677;FRG;FREGADERO;10119059 CLASSIC 1C. INOX   650*500 M:50CM;TEKA;93,57;0;159,911130; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;19 cm;Num. orificios;1;dimension primer cuenco;406 x 406 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01104779.jpg
01104935; ;8425622062601;AAM;ACCESORIO DE GAMA BLANCA;935970 KIT RECIRCULACION INOX.  PERLA/BRIO;MEPAMSA;27,02;0;46,177180; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01104935.jpg
01105586;10205019SMCGC;8421152027868;ENC;ENCIMERA A GAS;10205019 SM CGC.4G AI. AL BUT  600*510 AUTOENCENI;TEKA;235,84;0;403,050560; ; ;0;01;GAMA BLANCA; ;Altura;100;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control; ;https://integra.hepecasa.es/01/01105586.jpg
01105642;BE2C780;8421152031278;FRG;FREGADERO;10125026 BE 2C 780 INOX 18/10 FONDOS 200MM;TEKA;139,46;0;238,337140; ; ;0;01;GAMA BLANCA; ;Altura;200;Ancho;779;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios;2;dimension primer cuenco;400 x 340 mm;profundidad segundo cuenco;20 cm;dimension segundo cuenco;400 x 340 mm;https://integra.hepecasa.es/01/01105642.jpg
01105721;RF61801239;2000000000027;FIL;FILTRO CAMPANA;61801239 FILTRO CARBON;TEKA;13,26;0;22,661340; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01105721.jpg
01105750;BE2C785;8421152031261;FRG;FREGADERO;10125025 BE 2C 785 INOX 18/10 F:250 Y 180MM;TEKA;145,70;1;249,0013; ; ;0;01;GAMA BLANCA; ;Altura;250;Ancho;785;Color;Acero inoxidable;profundidad primer cuenco;25 cm;Num. orificios;2;dimension primer cuenco;406 x 406 mm;profundidad segundo cuenco;18 cm;dimension segundo cuenco;280 x 406 mm;https://integra.hepecasa.es/01/01105750.jpg
01110585;81472103;8421152708316;AAM;ACCESORIO DE GAMA BLANCA;81472103 CUBRETUBOS DE 60/70/90 INOX  800MM;TEKA;47,71;0;81,536390; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales;METAL;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01110585.jpg
01111115;ACCS1MCOAXFE;8413880044156;AAM;ACCESORIO DE GAMA BLANCA;ACCS.1M COAX FEE 988010264;FAGOR CONF;29,13;1;49,783170; ; ;0;01;GAMA BLANCA; ;Color;BLANCO;Productos compatibles; ;Materiales;PLASTICO;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01111115.jpg
01114239;TF2003;8422248005722;CAP;CAMPANA EXTRAIBLE TELESCOPICA;TF-2003 BLANCA  02017000 1M 60CM 02017000;CATA;82,40;0;140,8216; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color; ;Ancho; ;Altura; ;Max. Capacidad Extracc.; ;Clase eficiencia energetica; ;Numero de velocidades; ;Nivel de ruido; ;https://integra.hepecasa.es/01/01114239.jpg
01114902;KITCHIMENE;8425622058161;AAM;ACCESORIO DE GAMA BLANCA;935921 KIT CHIMENEA PARED INOX 99*300*260;MEPAMSA;90,71;0;155,023390; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales;Acero inoxidable;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01114902.jpg
01114904;MERITH70;8425622067224;CAM;CAMPANA DECORATIVA;MERIT M 70 1M INOX.   971691 DECORATIVA;MEPAMSA;260,01;0;444,357090; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;698;Max. Capacidad Extracc.;640 m³/h;Numero de velocidades;3;Clase eficiencia energetica; ;Nivel de ruido;69 dB;Consumo energetico;205 W;https://integra.hepecasa.es/01/01114904.jpg
01116248;61801236;8421152708293;FIL;FILTRO CAMPANA;61801236 C. A. CIRCULAR 2001 (DECORATIVAS);TEKA;13,26;0;22,661340; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01116248.jpg
01118334;BE3445;8421152032497;FRG;FREGADERO;10125055 BE 34.45 INOX    FONDO 250MM M:45CM;TEKA;94,62;0;161,705580; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;25 cm;Num. orificios;1;dimension primer cuenco;340 x 457 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01118334.jpg
01118631;MS1CROMO;8421152744307;GFO;GRIFO;MS1 CROMO MONOMANDO *SELECCION*;TEKA;48,10;0;82,2029; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01118631.jpg
01119282;REF61801232;8421152495315;FIL;FILTRO CAMPANA;61801232 CARBONO ACTIVADO;TEKA;13,26;2;22,661340; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01119282.jpg
01119790;2C80O;8421152018682;FRG;FREGADERO;11119006 CLASSIC 2C.80 C/O INOX 800*500 M:80CM;TEKA;150,15;0;256,606350; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho;500;Color;Acero inoxidable;profundidad primer cuenco;19 cm;Num. orificios;2;dimension primer cuenco;406 x 406 mm;profundidad segundo cuenco;19 cm;dimension segundo cuenco;280 x 406 mm;https://integra.hepecasa.es/01/01119790.jpg
01120019;61801251;8421152745113;FIL;FILTRO CAMPANA;61801251 CARBONO;TEKA;16,39;0;28,010510; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01120019.jpg
01120158;KITDELUXE;8016361057951;AAM;ACCESORIO DE GAMA BLANCA;KIT DE LUXE  LAVA/SECA CON BANDEJA;CANDY;53,83;0;91,995470; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01120158.jpg
01120237;DR801C1EIZQ;8421152705865;FRG;FREGADERO;11110009 PRESTIGIO DR-80 1C.1E. INOX IZDA;TEKA;67,47;0;115,306230; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;16 cm;Num. orificios;1;dimension primer cuenco;360 x 360 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01120237.jpg
01120617;02800905;8422248002233;FIL;FILTRO CAMPANA;2800905  FILTRO METALICO;CATA;9,86;0;16,850740; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01120617.jpg
01122377;81476034;8421152708354;AAM;ACCESORIO DE GAMA BLANCA;81476034 CUBRETODOS DM 60/70/90 BLANCO 800MM;TEKA;42,39;0;72,444510; ; ;0;01;GAMA BLANCA; ;Color;Blanco;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01122377.jpg
01124253;TF200360DURALUM;8422248015394;CAP;CAMPANA EXTRAIBLE TELESCOPICA;TF-2003 DUR.;CATA;71,95;7;122,962550; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Plata;Ancho;600;Altura;140;Max. Capacidad Extracc.;350 m³/h;Clase eficiencia energetica;C;Numero de velocidades;2;Nivel de ruido;44 dB;https://integra.hepecasa.es/01/01124253.jpg
01126457;02825263;8422248006552;FIL;FILTRO CAMPANA;02825263 (TF-2003/G45);CATA;7,40;0;12,6466; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01126457.jpg
01126860;40199222;8421152741498;AAM;ACCESORIO DE GAMA BLANCA;40199222 TABLA (ANGULAR 2C / CLASSIC);TEKA;16,65;0;28,454850; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales;Madera;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01126860.jpg
01128636;SBS2;8016361714380;AAM;ACCESORIO DE GAMA BLANCA;SBS-2  KIT UNION S&S BLANCO 1,43 Y 1,63CM;CANDY;15,29;0;26,130610; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01128636.jpg
01129638;40199201;8421152496015;AAM;ACCESORIO DE GAMA BLANCA;40199201 TABLA (STYLO 1C.1E. / 1C.);TEKA;16,57;0;28,318130; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales;Madera;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01129638.jpg
01129724; ;8016361055650;AAM;ACCESORIO DE GAMA BLANCA;LB-AB  KIT UNIÓN;CANDY;24,59;0;42,024310; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01129724.jpg
01130611; ;8016361719880;AAM;ACCESORIO DE GAMA BLANCA;KIT DE LUXE SILVER;CANDY;53,83;0;91,995470; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01130611.jpg
01131591;81481000;8421152712658;AAM;ACCESORIO DE GAMA BLANCA;81481000 CUBRETUBOS DH 60/70/90 INOX SUPERIOR;TEKA;60,94;0;104,146460; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01131591.jpg
01131773;CAMPANAGFH73INO;8421152036402;CAY;GRUPO FILTRANTES;404467101 GFH-73 INOX  3VELOC. 1MDT 756M3/H;TEKA;91,58;1;156,510220; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;730;Max. Capacidad Extracc.;329 m³/h;Numero de velocidades;3;Nivel de ruido; ;Consumo energetico; ;Num. Motores;1;https://integra.hepecasa.es/01/01131773.jpg
01132241;CAMPANAGFH55INO;8421152036396;CAY;GRUPO FILTRANTES;40446700  GFH-55 INOX  1MDT 756M3/H;TEKA;83,96;13;143,487640; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;550;Max. Capacidad Extracc.;329 m³/h;Numero de velocidades;3;Nivel de ruido;46 DB;Consumo energetico; ;Num. Motores;1;https://integra.hepecasa.es/01/01132241.jpg
01132821;TENDERH90NEGRA;8425622087383;CAM;CAMPANA DECORATIVA;TENDER M 90 1M NEGRA   971795 800M3/H DECORATIVA;MEPAMSA;268,76;0;459,310840; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Negro;Ancho;898;Max. Capacidad Extracc.;705 m³/h;Numero de velocidades;3;Clase eficiencia energetica; ;Nivel de ruido; ;Consumo energetico; ;https://integra.hepecasa.es/01/01132821.jpg
01132888;02861300;8422248016742;AAM;ACCESORIO DE GAMA BLANCA;2861300  TUBO SUPERIOR SYGMA;CATA;48,66;0;83,159940; ; ;0;01;GAMA BLANCA; ;Color;Negro;Productos compatibles; ;Materiales;Acero inoxidable;Tipo de aparatos; ;Peso; ;Ancho;320; ; ; ; ;https://integra.hepecasa.es/01/01132888.jpg
01133708;1120152188;7461231944590;FIL;FILTRO CAMPANA;CA RECTANGULAR 3;MEPAMSA;22,40;0;38,2816; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01133708.jpg
01134182;1100150996;7612985571975;CAS;CAMPANA CLASICA CONVENCIONAL;MODENA 60 BLANCA 971833 CONVENCIONAL;MEPAMSA;100,93;3;172,489370; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Blanco;Altura; ;Ancho;598;Max. Capacidad Extracc.;380 m³/h;Clase eficiencia energetica;D;Numero de velocidades;3;Nivel de ruido;71 DB;https://integra.hepecasa.es/01/01134182.jpg
01135144;41026020;8421152052303;GFO;GRIFO;041026020 MY COMPACT CROMO C.ALTO:45,5CM;TEKA;214,81;0;367,110290; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01135144.jpg
01135661; ;2000000002920;AAM;ACCESORIO DE GAMA BLANCA;KIT CONEXIÓN HIDRÁULICA 16553;COINTRA;16,19;15;27,668710; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01135661.jpg
01136348; ;8430709165106;AAM;ACCESORIO DE GAMA BLANCA;KIT 16510;COINTRA;47,05;3;80,408450; ; ;0;01;GAMA BLANCA; ;Color; ;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01136348.jpg
01137116;TF200390DURALUM;8422248029285;CAP;CAMPANA EXTRAIBLE TELESCOPICA;TF-2003 90 DURALUM EXTRAIBLE INOX 90CM 350M3;CATA;105,67;8;180,590030; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Plata;Ancho;900;Altura;140;Max. Capacidad Extracc.;350 m³/h;Clase eficiencia energetica; ;Numero de velocidades;2;Nivel de ruido;44 dB;https://integra.hepecasa.es/01/01137116.jpg
01137689;STILOH90INOX;7612318254087;CAM;CAMPANA DECORATIVA;STILO H 90 INOX DECORATIVA INOX 90CM 800M3;MEPAMSA;189,77;0;324,316930; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;898;Max. Capacidad Extracc.;660 m³/h;Numero de velocidades;3;Clase eficiencia energetica; ;Nivel de ruido; ;Consumo energetico; ;https://integra.hepecasa.es/01/01137689.jpg
01137710;10125122;8421152062111;FRG;FREGADERO;BE-50.40 PLUS;TEKA;58,62;0;100,181580; ; ;0;01;GAMA BLANCA; ;Altura;200;Ancho;530;Color;Acero inoxidable;profundidad primer cuenco;25 cm;Num. orificios;1;dimension primer cuenco;500 x 400 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01137710.jpg
01138327;RV060150;2000000003537;AAM;ACCESORIO DE GAMA BLANCA;a RV-060150;BOSCH;43,43;1;74,221870; ; ;0;01;GAMA BLANCA; ;Color;PLATA;Productos compatibles; ;Materiales;ACERO INOXIDABLE;Tipo de aparatos;CAMPANA EXTRACTORA;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01138327.jpg
01138329;LZ12340;4242003441282;AAM;ACCESORIO DE GAMA BLANCA;LZ-12340;BALAY;64,49;1;110,213410; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles;SIEMENS LC957WA20, LC757WA20, LC657WA20\;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01138329.jpg
01138774;1120152193;8425622015461;FIL;FILTRO CAMPANA;935414 FILTRO CARBON;MEPAMSA;24,91;0;42,571190; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01138774.jpg
01139493;10125123;8421152066454;FRG;FREGADERO;BE-45.40;TEKA;54,95;64;93,909550; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;20 cm;Num. orificios;1;dimension primer cuenco;450 x 400 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01139493.jpg
01139557;10205283;8421152066508;ENC;ENCIMERA A GAS;CG.1 4G AI AL NAT.INOX;TEKA;257,03;0;439,264270; ; ;0;01;GAMA BLANCA; ;Altura;64;Ancho;590;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;4 zona(s);Color; ;Clase eficiencia energetica; ;Tipo de control; ;https://integra.hepecasa.es/01/01139557.jpg
01139617;41001000;8421152066669;GFO;GRIFO;IN CROMO;TEKA;50,06;0;85,552540; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01139617.jpg
01140390; ;8028693390644;ACG;ACCESORIO CALENTADOR;ACCESORIO CURVA 90º 16453;COINTRA;29,15;0;49,817350; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01140390.jpg
01140810;MIC201EX;8016361767645;HMD;HORNO MICROONDAS INTEGRACION;MIC-201 EX;CANDY;108,13;28;184,794170; ; ;0;01;GAMA BLANCA; ;Capacidad interior;20 L;Color;Acero inoxidable;Potencia microondas;800 W;Niveles Potencia;8;Clase eficiencia energetica; ;Grill;Si;Grill Power;1000 W;Dimensiones (An x Prof x Al);595X315X382;https://integra.hepecasa.es/01/01140810.jpg
01140825;41599005;8421152054673;AAM;ACCESORIO DE GAMA BLANCA;41599005 ACCESORIO HORNO;TEKA;42,40;0;72,4616; ; ;0;01;GAMA BLANCA; ;Color;Cromo;Productos compatibles; ;Materiales; ;Tipo de aparatos;COCINA / HORNO;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01140825.jpg
01141198;1100150999;7612985572019;CAS;CAMPANA CLASICA CONVENCIONAL;MODENA 90 INOX;MEPAMSA;144,78;3;247,429020; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Altura; ;Ancho;898;Max. Capacidad Extracc.;380 m³/h;Clase eficiencia energetica;D;Numero de velocidades;3;Nivel de ruido;71 DB;https://integra.hepecasa.es/01/01141198.jpg
01141555;MIG2025;8436044524721;HMD;HORNO MICROONDAS INTEGRACION;MIG-2025+MARCO;ORBEGOZO;92,43;0;157,962870; ; ;0;01;GAMA BLANCA; ;Capacidad interior;20 L;Color;Acero inoxidable;Potencia microondas;800 W;Niveles Potencia;6;Clase eficiencia energetica; ;Grill;Si;Grill Power;1000 W;Dimensiones (An x Prof x Al); ;https://integra.hepecasa.es/01/01141555.jpg
01142138;CAMPANADBB70INO;8421152069639;CAM;CAMPANA DECORATIVA;DBB-70 X;TEKA;91,58;5;156,510220; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;700;Max. Capacidad Extracc.;440 m³/h;Numero de velocidades;3;Clase eficiencia energetica; ;Nivel de ruido;45 DB;Consumo energetico; ;https://integra.hepecasa.es/01/01142138.jpg
01142215;02862301;8422248031080;AAM;ACCESORIO DE GAMA BLANCA;02862301 TUBO DECOR;CATA;36,34;0;62,105060; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales; ;Tipo de aparatos; ;Peso; ;Ancho;600; ; ; ; ;https://integra.hepecasa.es/01/01142215.jpg
01142381;3200487;5411692113193;TER;TERMO ELECTRICO;NILO 2.0 100L;FLECK;396,40;0;677,4476; ; ;0;01;GAMA BLANCA; ;Tipo de combustible;Eléctrico;Color;Azul, Blanco;Clase eficiencia energetica; ;Capacidad de reserva de agua;100 L;Potencia maxima;2500 W;Pres. max. Funcionamiento;9 bar;Colocacion compatible;Horizontal/Vertical;Ajustes de termostato;Si;https://integra.hepecasa.es/01/01142381.jpg
01142518;3200486;5411692113186;TER;TERMO ELECTRICO;NILO 2.0 75L;FLECK;355,80;3;608,0622; ; ;0;01;GAMA BLANCA; ;Tipo de combustible;ELÉCTRICO;Color;BLANCO;Clase eficiencia energetica; ;Capacidad de reserva de agua;75 L;Potencia maxima;2500 W;Pres. max. Funcionamiento;9 BARRA;Colocacion compatible;HORIZONTAL / VERTICAL;Ajustes de termostato;SI;https://integra.hepecasa.es/01/01142518.jpg
01142544;02866300;8422248019415;AAM;ACCESORIO DE GAMA BLANCA;02866300 PANEL DECOR;CATA;31,42;0;53,696780; ; ;0;01;GAMA BLANCA; ;Color;Acero inoxidable;Productos compatibles; ;Materiales;ACERO INOXIDABLE;Tipo de aparatos; ;Peso; ;Ancho;600; ; ; ; ;https://integra.hepecasa.es/01/01142544.jpg
01142558;PBOX6IR;7332543069156;AAM;ACCESORIO DE GAMA BLANCA;PBOX-6IR;ELECTROLUX;40,35;2;68,958150; ; ;0;01;GAMA BLANCA; ;Color;Plata;Productos compatibles;HK654070XB;Materiales;Acero inoxidable;Tipo de aparatos;COCINA / HORNO;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01142558.jpg
01142933;11119200;8421152071526;FRG;FREGADERO;CLASSIC MAX 1C 1E D;TEKA;126,21;0;215,692890; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;20 cm;Num. orificios;1;dimension primer cuenco;450 x 400 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01142933.jpg
01142937;12127001;8421152069592;FRG;FREGADERO;BAHIA 1C PLUS;TEKA;217,59;0;371,861310; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;22 cm;Num. orificios;1;dimension primer cuenco;736 x 431 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01142937.jpg
01142938;41032100;8421152076453;GFO;GRIFO;FRAME CROMO;TEKA;139,91;0;239,106190; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01142938.jpg
01143326;40490147;8421152156391;AAM;ACCESORIO DE GAMA BLANCA;KIT RECIRC.SET 1/N (DPE/DG3/DH2/NC2);TEKA;31,80;0;54,3462; ; ;0;01;GAMA BLANCA; ;Color;NEGRO;Productos compatibles;DPE, DG3, NC2, DH2\N;Materiales; ;Tipo de aparatos;CAMPANA EXTRACTORA;Peso; ;Ancho;0; ; ; ; ;https://integra.hepecasa.es/01/01143326.jpg
01143364;ZKes453;9005382100837;VIN;VINOTECA;CAVA PUROS ZKes-453;LIEBHERR;2060,93;0;3522,129370; ; ;0;01;GAMA BLANCA; ;Numero de botellas; ;Color;Acero inoxidable;Clase eficiencia energetica; ;Altura;612;Ancho;478; ; ; ; ; ; ;https://integra.hepecasa.es/01/01143364.jpg
01143525;10125121;8421152060889;FRG;FREGADERO;BE-74.43;TEKA;104,07;0;177,855630; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho; ;Color; ;profundidad primer cuenco;20 cm;Num. orificios;1;dimension primer cuenco; ;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01143525.jpg
